LOCATION,MINUTES
140 Ave between 61 - 59 St,1253
140 Ave between 88A - 90 St,308
140 Ave between 90 - 88A St,1106
142 Ave between 122 - 127 St,6825
142 Ave between 127 - 122 St,10088
142 Ave between 24 - 23 St,257
142 St between 106 - 104 Ave,34661
142 St between 80 - 85 Ave,361
142 St between 85 - 80 Ave,450
142 St between 96 - 95 Ave,1386
142 St between Valleyview Dr - 95 Ave,330
142 St btwn 104A - 105 Ave,16885
143 St between 92 - 91 Ave,105
144 Ave between 57 - 54 St,162
144 Ave between 57 - 61 St,1130
144 Ave between 57 - 62 St,343
144 Ave between 61 - 57 St,1084
144 Ave between 62 - 57 St,186
144 Ave between 63 - 61 St,997
144 Ave between 69 - 72 St,375
144 Ave between 72 - 74 St,480
144 Ave between 74 - 72 St,2689
144 Ave between 74 - 77 St,2890
144 Ave between 77 - 79 St,8200
144 Ave between 77 -74 St,3868
144 Ave between 87 - 88A St,3298
144 Ave between 88A - 87 St,4001
144 Ave between 94 - 92 St,90
144 Ave between Manning Dr - 36 St,240
144 Ave. btwn 63 - 62 St.,1162
144 Avenue between 79 - 77 Street,13731
144 St between 103 - 104 Ave,210
144 St between 104 - 103 Ave,268
145 Ave between 117 - 114A St,90
145 Ave east of 127 St,240
149 St. Between 80 - 84 Ave,11649
149A Ave between 76 - 77 St,600
149A Ave between 77 - 76 St,615
150 Ave between 92 - 93 St,1082
152 St between 95 - 96 Ave,120
152 St between 96 - 95 Ave,120
153 Ave between 18 St - Victoria Tr,120
153 St between 87 - 90 Ave,180
153 St between 90 - 87 Ave,415
154 St between  106 - 105 Ave,120
154 St between 105 - 106 Ave,90
156 St between 109 - 108 Ave,15328
156 St between 80 - 84 Ave,2385
156 St between 92-94 Ave,5443
156 St between 94 - 92 Ave,48891
156 St between 99 - 98 Ave,26867
156 St btwn 76A - 80 Ave,120
158 St between 83 - 79A Ave,180
159 St between 87 Ave - Whitemud Dr,1320
159 St between Whitemud Dr - 87 Ave,120
160 Ave between 137A - 139 St,1071
160 Ave between 139 - 137A St,827
161A Ave between 74 - 76 St,109
161A Ave between 76 - 74 St,1248
162 Ave between 115 St - 161 Ave,240
162 Ave between 161 Ave - 115 St,452
162 Ave between 54A - 54B St,120
163 St between 89 - 93 Ave,7138
163 St between 93 - 92 Ave,4624
163 St between 99 - 96A Ave,16591
163 St btwn 103 - 104 Ave,751
164 Ave between 84 - 88 St,165
165 St between 93 - 95 Ave ,2056
165 St between 95 - 93 Ave,2024
165 St between 95 - 97 Ave,99
167 St between 80 - 83 Ave,143
167 St between 83 - 80 Ave,231
170 St between 109 - 110 Ave,384
170 St between 114 - 117 Ave,9075
170 St between 114 -117 Ave,26805
170 St between 118 - 114 Ave,55766
172 Ave between 103 - 108 St,300
172 Ave between 108 - 103 St,2947
172 St between Callingwood Rd - 63 Ave,472
175 St between 82 - 85 Ave,1342
175 St between 85 - 82 Ave,1525
176 Ave between 104 - 99 St,1524
179 Ave between 92 - 93 St,390
179 Ave between 93 - 92 St,645
180 Ave between 83 - 87 St,180
182 St between 89 - 93 Ave,2969
182 St between 93 - 89 Ave,613
184 St between 57 - 52 Ave,1065
184 St between 57 Ave - Callingwood Rd,1507
184 St between 60 - 57 Ave ,4543
184 St between 62B - 66 Ave,406
184 St between 66 - 62B Ave,137
184 St between Dechene Rd - 57 Ave,1466
184 St between Lessard Rd - 52 Ave,152
189 St between 59 Ave - Callingwood Rd,150
189 St between 87 - 93 Ave,918
189 St between 95 - 91 Ave,139
189 St btwn 90A - 92 Ave,60
190 St between 56 - 53 Ave,144
19A Ave between 56 - 57 St,1041
21 St between 147 -151 Ave,612
21 St between 151 - 147 Ave,240
23 Ave west of 119 St,555
31 Ave between 113 - 115 St,122
31 Ave between 115 - 113 St,303
32A Ave between 106 - 108 St,698
34 Ave between 66 St - Millwoods Rd,219
34 Ave between Millwoods Rd - 66 St,227
34 St between 108 - 111 Ave,665
34 St between 111 - 108 Ave,420
34 St between 120 Ave - Abbottsfield Rd,393
34 St between Abbottsfield Rd - 120 Ave,525
36 Ave between 78 St - Millwoods Rd,214
36 Ave between 79 St - Richfield Rd,348
36 Ave between Millwoods Rd - 78 St,121
36 Ave between Richfield Rd - 79 St,746
36 St between 139 - 144 Ave,14871
36 St between 144 - 139 Ave,12799
37 St between 30 - 34 Ave,793
38 Ave between  60 - 55 St,594
38 Ave between 55 - 57 St.,226
38 Ave between 55 - 60 St,8679
38 St between 116 - 118 Ave,125
38 St between 118 - 116 Ave,123
38 St between 41 - 39 Ave,173
39 Ave between 93 - 97 St,5864
39 Ave between 97 - 93 St,1338
4 Ave SW btwn 50 - 52 St,1187
4 Ave SW btwn 52 - 50 St,706
40 Ave between 111 - 112A St,9363
40 Ave between 112A - 111 St,2816
40 Ave between 115A - 119 St,303
40 Ave between 119 - 115A St,539
40 Ave between 119 - 117 St,2818
40 Ave between 120 - 119 St,192
40 Ave between 124 - 120 St,182
40 Ave between Aspen Dr E - 120 St,75
40 St between 137 - 132 Ave,2150
42 Ave between 106 - 107 St,120
42 Ave between 107 - 106 St,614
44 Ave between 49 St- Jackson Rd,226
44 Ave between Jackson Rd- 49 St,225
44 St between 39 - 41 Ave,141
44 St between Jackson Rd - Kulawy Dr,111
46 St between 105A - 106 Ave,90
46 St between 106 - 105A Ave,80
48 St between 17A - 18A Ave,92
48 St between 18A - 17A Ave,306
48 St between 28 - 30 Ave,304
48 St between 30 - 28 Ave,1624
50 St between 102 - 104A Ave,15069
50 St between 124 - 122 Ave,28893
50 St between 84 - 90 Ave,210
50 St between Fulton Rd - 101A Ave,17886
50 St between McLeod Rd - 146 Ave,1530
51 Ave between 114 - 112 St,483
51 Ave between 114 - 116 St,1255
51 Ave between 116 - 114 St,6539
51 Ave between 116 -122 St,1442
51 Ave between 122 - 116 St,19915
51 Ave between 123 - 124 St,90
51 Ave between 124 - 123 St,416
53 Ave between Whitemud Dr - Riverbend Rd,1025
53 Ave btwn Riverbend Rd - Whitemud Dr,357
53 Ave btwn Whitemud Dr - Riverbend Rd,323
54 Ave between 114 - 113A St,98
54 St between 121 - 122 Ave,736
54 St between 122 - 121 Ave,588
57 Ave between 113A - 113B St,180
57 Ave between 175 - 174 St,121
57 Ave between 181 - 184 St,150
57 Ave between 184 - 181 St,150
58 St between 92A - 93A Ave,351
59A St between 159 - 159A Ave,841
59A St between 159A - 159 Ave,480
59A St. Between 159 - 162 Ave,60
62 St between 104 - 106 Ave,467
62 St between 106 - 104 Ave,300
62 St between 134 - 132 Ave,255
63 Ave between 126 - 127 St,535
63 Ave between 127 - 126 St,543
64 Ave between 172 - 177 St,1205
64 Ave between 177 - 172 St,600
65 St between 104 - 106 Ave,120
65 St between 106 - 104 Ave,120
66 St  north of 167 Ave,2610
66 St between 132 - 134 Ave.,28719
66 St between Delwood Rd - 132 Ave,32799
70 Ave between 99 - 98 St,90
72 St between 149 - 149A Ave,240
72 St between 149A - 149 Ave,365
75 St between 92A - 94B Ave,24417
75 St between 95 - 94 Ave,17366
76 Ave between 105 - 106 St,4115
76 Ave between 106 - 105 St,2458
76 Ave between 114 - 113 St,4682
76 Ave between 154 - 155 St,750
76 Ave between 155 - 154 St,873
76 Ave between 173 - 176 St,245
76 Ave between 176 - 173 St,312
76 Ave between 78 - 80 St,1270
76 Ave between 85 - 87 St,10215
78 Ave between 106 - 107 St,86
78 Ave between Patricia Dr - 162 St,91
79 St between 94 - 95 Ave,4672
79 St between 95 - 93A Ave,60
79 St between 95 - 94 Ave,4398
80 Ave between 97 - 98 St,120
80 Ave between 98 - 97 St,89
80 St between 14 - 15 Ave,275
81 St between 116 - 117 Ave,100
82 Ave between 87 - 89 St ,4922
82 Ave between 89 - 87 St,58383
82 Ave between 91 - 95A St,57119
82 Ave between 96 - 97 St,33119
82 Ave between 98 - 97 St,23420
83 Ave between 163 - 164 St,75
83 Ave between 164 - 163 St,120
83 St between Whyte Ave - 86 Ave,62154
84 St between 102 - 105 Ave,660
84 St between 105 - 102 Ave,455
85 St between 93 - 95 Ave,27383
85 St between 95 - 93 Ave,43484
86 Ave between 109 - 110 St,90
86 Ave between 64 - 68A St,330
86 Ave between 68A - 64 St,240
87 Ave between  145 - 147 St,200
87 Ave between 117 - 120 St,3243
87 Ave between 119 St - Sask Dr,39907
87 Ave between 120 - 117 St,709
87 St between 79 - 78 Ave,120
88 St SW between 14 - 19 Ave SW,244
90 Ave between 152 - 153 St,150
90 Ave between 153 - 152 St,120
90 Ave between 57 - 58 St,364
90 Ave between 58 - 57 St,315
90 Ave between 68 - 71 St,1289
90 Ave between 71 - 68 St,781
90 Ave between 73 - 71 St,60
91 Ave between 154 - 155 St,240
91 Ave between 165 - 167 St,192
91 Ave between 167 - 165 St,125
91 St between 172 - 174 Ave,480
91 St between 174 - 172 Ave,564
91 St between 63 - 58 Ave,10444
91 St between 86 -88 Ave,5111
91 St between 88 - 86 Ave,2510
91 St between Anthony Henday Dr - 23 Ave,8877
92 Ave between 156 - 163 St,365
92 Ave between 163 - 156 St,450
92 St between 106 - 105A Ave,570
93 Ave between 180 - 179 St,92
94 St between 143 Ave - 93 St,316
94B Ave btwn 61 - 68 St,62
94B Ave btwn 68A - 61 St,47
95 Ave between 154 - 152 St,2279
